Date,Open,High,Low,Close,Volume
7/25/2022,61.84,64.46,61.1,64.41,"19,564,448"
7/26/2022,65.79,66.05,61.78,62.07,"20,190,773"
7/27/2022,62.63,63,61.52,62.78,"16,625,128"
7/28/2022,63.31,64.6,61.6,62.64,"14,559,448"
7/29/2022,64,65.9,63.9,65.75,"19,570,669"
8/1/2022,65.17,65.74,63.57,65.23,"16,725,731"
8/2/2022,65.31,65.81,63.95,65.06,"16,296,754"
8/3/2022,64.67,65,60.51,60.99,"32,476,605"
8/4/2022,60.01,60.7,57.26,57.46,"37,999,109"
8/5/2022,56.92,59.7,56.83,59.01,"20,987,457"
8/8/2022,58.34,60.6,58.34,60.04,"18,199,195"
8/9/2022,61.66,63.52,61.41,62.41,"22,286,792"
8/10/2022,61.98,63.39,61.3,62.86,"14,200,071"
8/11/2022,64.2,66.16,64.16,65.69,"21,762,333"
8/12/2022,65.05,66.07,64.79,65.73,"11,746,074"
8/15/2022,63.41,65.21,62.46,64.34,"16,684,691"
8/16/2022,64.78,65.69,63.03,63.51,"16,662,241"
8/17/2022,63.43,64.81,62.79,62.97,"14,889,808"
8/18/2022,63.6,65.28,63.57,64.88,"16,817,996"
8/19/2022,64.12,72.49,63.84,71.29,"79,948,146"
8/22/2022,68.6,70.38,67.27,69.03,"47,928,809"
8/23/2022,70.77,74.84,70.47,73.79,"59,618,731"
8/24/2022,74.15,75.69,73.08,74.91,"39,632,291"
8/25/2022,75.5,76.1,73.53,74.48,"22,784,634"
8/26/2022,74.39,75.36,73.12,73.55,"20,581,076"
8/29/2022,73.2,77.13,72.82,75.26,"29,995,009"
8/30/2022,73.5,73.86,71.18,72.01,"26,152,885"
8/31/2022,70.34,72.4,69.55,71,"21,579,096"
9/1/2022,69.24,69.93,67.84,68.4,"21,504,253"
9/2/2022,70.61,70.9,68.27,68.77,"22,793,013"
9/6/2022,68.99,69.51,66.58,66.88,"21,676,426"
9/7/2022,65.3,66.01,64.4,65.43,"22,488,441"
9/8/2022,66,66.2,64.03,64.61,"22,052,684"
9/9/2022,65.55,65.88,64.29,65.61,"21,877,168"
9/12/2022,67,67.81,65.68,66.8,"26,349,103"
9/13/2022,65.63,66.78,64.52,65.34,"25,446,407"
9/14/2022,66.22,67.79,65.76,67.2,"28,406,986"
